CMDLINE python3 adjoint.py
MEM 279.828125 1738751411.6761
MEM 281.890625 1738751411.7812
MEM 282.468750 1738751411.8863
MEM 283.937500 1738751411.9914
MEM 284.187500 1738751412.0965
MEM 286.921875 1738751412.2016
MEM 287.171875 1738751412.3068
MEM 287.734375 1738751412.4119
MEM 287.796875 1738751412.5169
MEM 288.093750 1738751412.6221
MEM 288.578125 1738751412.7272
MEM 289.312500 1738751412.8323
MEM 289.531250 1738751412.9375
MEM 289.609375 1738751413.0426
MEM 289.796875 1738751413.1477
MEM 290.140625 1738751413.2529
MEM 290.515625 1738751413.3579
MEM 290.640625 1738751413.4631
MEM 291.578125 1738751413.5683
MEM 291.593750 1738751413.6733
MEM 291.984375 1738751413.7785
MEM 293.078125 1738751413.8837
MEM 293.203125 1738751413.9887
MEM 293.671875 1738751414.0939
MEM 294.968750 1738751414.1990
MEM 294.812500 1738751414.3042
MEM 302.781250 1738751414.4093
MEM 304.187500 1738751414.5145
MEM 308.906250 1738751414.6197
MEM 314.859375 1738751414.7248
MEM 314.687500 1738751414.8299
MEM 314.718750 1738751414.9321
MEM 314.843750 1738751415.0374
MEM 314.921875 1738751415.1426
MEM 318.187500 1738751415.2477
MEM 319.406250 1738751415.3529
MEM 319.984375 1738751415.4578
MEM 322.687500 1738751415.5629
MEM 322.765625 1738751415.6680
MEM 322.953125 1738751415.7730
MEM 323.046875 1738751415.8781
MEM 323.109375 1738751415.9833
MEM 324.203125 1738751416.0885
MEM 324.625000 1738751416.1935
MEM 324.687500 1738751416.2986
MEM 325.171875 1738751416.4037
MEM 325.375000 1738751416.5089
MEM 326.640625 1738751416.6139
MEM 327.203125 1738751416.7191
MEM 327.421875 1738751416.8241
MEM 327.734375 1738751416.9293
MEM 328.546875 1738751417.0344
MEM 329.468750 1738751417.1395
MEM 330.000000 1738751417.2446
MEM 330.296875 1738751417.3498
MEM 330.843750 1738751417.4549
MEM 330.859375 1738751417.5601
MEM 331.062500 1738751417.6652
MEM 332.015625 1738751417.7704
MEM 336.296875 1738751417.8755
MEM 336.375000 1738751417.9807
MEM 336.609375 1738751418.0858
MEM 339.265625 1738751418.1910
MEM 339.187500 1738751418.2948
MEM 339.171875 1738751418.4000
MEM 339.562500 1738751418.5051
MEM 339.765625 1738751418.6102
MEM 339.828125 1738751418.7129
MEM 339.781250 1738751418.8181
MEM 344.828125 1738751418.9232
MEM 346.265625 1738751419.0284
MEM 346.140625 1738751419.1335
MEM 346.687500 1738751419.2386
MEM 346.796875 1738751419.3437
MEM 346.765625 1738751419.4488
MEM 346.734375 1738751419.5504
MEM 346.609375 1738751419.6555
MEM 347.203125 1738751419.7606
MEM 348.015625 1738751419.8657
MEM 348.578125 1738751419.9708
MEM 348.812500 1738751420.0756
MEM 348.875000 1738751420.1776
MEM 349.109375 1738751420.2827
MEM 349.109375 1738751420.3879
MEM 350.078125 1738751420.4930
MEM 350.468750 1738751420.5981
MEM 350.625000 1738751420.7032
MEM 350.906250 1738751420.8084
MEM 351.375000 1738751420.9134
MEM 352.187500 1738751421.0186
MEM 352.734375 1738751421.1237
MEM 353.000000 1738751421.2282
MEM 353.250000 1738751421.3334
MEM 353.750000 1738751421.4385
MEM 354.046875 1738751421.5436
MEM 354.187500 1738751421.6488
MEM 354.671875 1738751421.7538
MEM 355.062500 1738751421.8590
MEM 355.046875 1738751421.9641
MEM 359.234375 1738751422.0692
MEM 363.375000 1738751422.1744
MEM 364.312500 1738751422.2783
MEM 364.390625 1738751422.3835
MEM 366.718750 1738751422.4887
MEM 366.843750 1738751422.5938
MEM 366.875000 1738751422.6989
MEM 366.796875 1738751422.8040
MEM 367.078125 1738751422.9091
MEM 367.609375 1738751423.0142
MEM 369.296875 1738751423.1194
MEM 374.187500 1738751423.2245
MEM 376.703125 1738751423.3297
MEM 376.859375 1738751423.4348
MEM 379.843750 1738751423.5399
MEM 385.156250 1738751423.6429
MEM 389.093750 1738751423.7480
MEM 392.718750 1738751423.8509
MEM 392.750000 1738751423.9560
MEM 393.390625 1738751424.0610
MEM 393.546875 1738751424.1661
MEM 393.687500 1738751424.2713
MEM 393.593750 1738751424.3764
MEM 393.375000 1738751424.4816
MEM 393.375000 1738751424.5868
MEM 393.343750 1738751424.6919
MEM 393.343750 1738751424.7971
MEM 393.328125 1738751424.9023
MEM 393.328125 1738751425.0074
MEM 393.265625 1738751425.1126
MEM 393.109375 1738751425.2178
MEM 393.156250 1738751425.3218
MEM 393.468750 1738751425.4269
MEM 393.609375 1738751425.5319
MEM 393.656250 1738751425.6371
MEM 394.156250 1738751425.7422
MEM 394.234375 1738751425.8473
MEM 394.250000 1738751425.9486
MEM 394.359375 1738751426.0538
MEM 394.984375 1738751426.1590
MEM 394.921875 1738751426.2621
MEM 395.281250 1738751426.3672
MEM 395.890625 1738751426.4723
MEM 396.375000 1738751426.5775
MEM 397.281250 1738751426.6826
MEM 397.484375 1738751426.7877
MEM 397.718750 1738751426.8927
MEM 398.562500 1738751426.9978
MEM 398.500000 1738751427.1030
MEM 398.562500 1738751427.2082
MEM 398.562500 1738751427.3133
MEM 398.812500 1738751427.4184
MEM 398.968750 1738751427.5236
MEM 399.015625 1738751427.6285
MEM 399.156250 1738751427.7338
MEM 399.156250 1738751427.8344
MEM 399.421875 1738751427.9395
MEM 399.421875 1738751428.0407
MEM 399.453125 1738751428.1459
MEM 399.828125 1738751428.2460
MEM 401.000000 1738751428.3511
MEM 400.875000 1738751428.4562
MEM 400.656250 1738751428.5592
MEM 400.796875 1738751428.6595
MEM 400.703125 1738751428.7637
MEM 400.515625 1738751428.8639
MEM 400.593750 1738751428.9690
MEM 404.375000 1738751429.0742
MEM 404.031250 1738751429.1794
MEM 404.031250 1738751429.2846
MEM 404.078125 1738751429.3898
MEM 404.109375 1738751429.4949
MEM 403.984375 1738751429.5986
MEM 403.781250 1738751429.7037
MEM 403.843750 1738751429.8062
MEM 403.718750 1738751429.9086
MEM 403.500000 1738751430.0138
MEM 403.500000 1738751430.1189
MEM 403.546875 1738751430.2241
