CMDLINE python3 adjoint.py
MEM 342.390625 1738750386.1048
MEM 342.343750 1738750386.2099
MEM 342.578125 1738750386.3149
MEM 342.546875 1738750386.4201
MEM 342.578125 1738750386.5252
MEM 347.000000 1738750386.6303
MEM 347.890625 1738750386.7353
MEM 349.015625 1738750386.8404
MEM 349.437500 1738750386.9455
MEM 349.546875 1738750387.0506
MEM 349.484375 1738750387.1557
MEM 349.546875 1738750387.2599
MEM 349.843750 1738750387.3650
MEM 350.765625 1738750387.4702
MEM 350.921875 1738750387.5727
MEM 350.796875 1738750387.6779
MEM 351.093750 1738750387.7829
MEM 351.609375 1738750387.8880
MEM 353.171875 1738750387.9894
MEM 353.859375 1738750388.0945
MEM 353.984375 1738750388.1996
MEM 354.000000 1738750388.3047
MEM 355.609375 1738750388.4098
MEM 356.562500 1738750388.5149
MEM 356.406250 1738750388.6200
MEM 356.828125 1738750388.7250
MEM 356.984375 1738750388.8302
MEM 357.031250 1738750388.9353
MEM 357.375000 1738750389.0403
MEM 360.921875 1738750389.1454
MEM 363.140625 1738750389.2505
MEM 363.421875 1738750389.3557
MEM 363.375000 1738750389.4608
MEM 364.187500 1738750389.5659
MEM 364.171875 1738750389.6676
MEM 364.171875 1738750389.7727
MEM 364.359375 1738750389.8777
MEM 364.609375 1738750389.9828
MEM 365.343750 1738750390.0880
MEM 368.843750 1738750390.1931
MEM 373.015625 1738750390.2983
MEM 373.078125 1738750390.4034
MEM 373.390625 1738750390.5085
MEM 376.484375 1738750390.6136
MEM 376.656250 1738750390.7187
MEM 376.781250 1738750390.8199
MEM 376.890625 1738750390.9251
MEM 376.890625 1738750391.0302
MEM 378.281250 1738750391.1354
MEM 378.562500 1738750391.2404
MEM 379.531250 1738750391.3455
MEM 379.437500 1738750391.4505
MEM 379.531250 1738750391.5556
MEM 379.875000 1738750391.6607
MEM 380.640625 1738750391.7658
MEM 381.031250 1738750391.8709
MEM 381.343750 1738750391.9760
MEM 381.531250 1738750392.0812
MEM 381.593750 1738750392.1856
MEM 382.109375 1738750392.2907
MEM 382.531250 1738750392.3957
MEM 382.671875 1738750392.5008
MEM 382.984375 1738750392.6059
MEM 383.890625 1738750392.7110
MEM 384.453125 1738750392.8160
MEM 384.593750 1738750392.9211
MEM 384.765625 1738750393.0262
MEM 385.171875 1738750393.1313
MEM 385.578125 1738750393.2365
MEM 385.796875 1738750393.3416
MEM 388.218750 1738750393.4467
MEM 388.812500 1738750393.5518
MEM 389.312500 1738750393.6564
MEM 389.812500 1738750393.7614
MEM 389.859375 1738750393.8666
MEM 390.015625 1738750393.9716
MEM 390.375000 1738750394.0762
MEM 390.218750 1738750394.1814
MEM 390.250000 1738750394.2865
MEM 391.906250 1738750394.3916
MEM 395.453125 1738750394.4968
MEM 395.578125 1738750394.5992
MEM 395.562500 1738750394.7044
MEM 396.109375 1738750394.8094
MEM 401.812500 1738750394.9146
MEM 406.343750 1738750395.0198
MEM 414.796875 1738750395.1249
MEM 422.343750 1738750395.2268
MEM 422.609375 1738750395.3310
MEM 423.062500 1738750395.4344
MEM 426.953125 1738750395.5395
MEM 427.109375 1738750395.6399
MEM 427.265625 1738750395.7438
MEM 427.578125 1738750395.8489
MEM 427.890625 1738750395.9540
MEM 428.218750 1738750396.0565
MEM 428.406250 1738750396.1582
MEM 428.750000 1738750396.2634
MEM 429.234375 1738750396.3685
MEM 429.500000 1738750396.4731
MEM 429.468750 1738750396.5782
MEM 429.468750 1738750396.6834
MEM 429.468750 1738750396.7886
MEM 429.437500 1738750396.8937
MEM 429.437500 1738750396.9989
MEM 429.406250 1738750397.1041
MEM 429.406250 1738750397.2092
MEM 429.343750 1738750397.3144
MEM 429.343750 1738750397.4195
MEM 429.156250 1738750397.5247
MEM 429.171875 1738750397.6298
MEM 429.140625 1738750397.7350
MEM 429.281250 1738750397.8400
MEM 429.281250 1738750397.9451
MEM 429.281250 1738750398.0501
MEM 429.281250 1738750398.1551
MEM 429.312500 1738750398.2601
MEM 429.312500 1738750398.3652
MEM 429.312500 1738750398.4702
MEM 429.375000 1738750398.5732
MEM 429.390625 1738750398.6782
MEM 429.406250 1738750398.7832
MEM 429.421875 1738750398.8883
MEM 429.515625 1738750398.9899
MEM 429.531250 1738750399.0949
MEM 429.562500 1738750399.1953
MEM 429.546875 1738750399.3003
MEM 429.312500 1738750399.4029
MEM 429.375000 1738750399.5080
MEM 429.437500 1738750399.6130
MEM 429.437500 1738750399.7180
MEM 429.468750 1738750399.8230
MEM 429.468750 1738750399.9281
MEM 429.500000 1738750400.0331
MEM 429.531250 1738750400.1382
MEM 429.562500 1738750400.2432
MEM 429.546875 1738750400.3482
MEM 429.546875 1738750400.4533
MEM 429.546875 1738750400.5583
MEM 429.546875 1738750400.6634
MEM 429.546875 1738750400.7684
MEM 429.578125 1738750400.8735
MEM 429.578125 1738750400.9786
MEM 429.578125 1738750401.0836
MEM 429.609375 1738750401.1886
