CMDLINE /Users/sghelichkhani/Workplace/firedrake-2025-01-23/bin/python3 adjoint.py
MEM 398.203125 1739142514.6621
MEM 398.875000 1739142514.7672
MEM 399.375000 1739142514.8723
MEM 399.656250 1739142514.9774
MEM 400.000000 1739142515.0825
MEM 400.812500 1739142515.1876
MEM 401.546875 1739142515.2928
MEM 401.687500 1739142515.3978
MEM 401.828125 1739142515.5026
MEM 402.046875 1739142515.6078
MEM 402.234375 1739142515.7112
MEM 402.250000 1739142515.8164
MEM 403.515625 1739142515.9215
MEM 408.421875 1739142516.0267
MEM 408.859375 1739142516.1318
MEM 409.453125 1739142516.2370
MEM 409.437500 1739142516.3421
MEM 409.625000 1739142516.4473
MEM 409.953125 1739142516.5504
MEM 410.109375 1739142516.6555
MEM 410.125000 1739142516.7558
MEM 410.296875 1739142516.8609
MEM 411.687500 1739142516.9661
MEM 413.718750 1739142517.0712
MEM 414.937500 1739142517.1763
MEM 415.250000 1739142517.2814
MEM 416.437500 1739142517.3824
MEM 422.093750 1739142517.4834
MEM 425.984375 1739142517.5885
MEM 430.187500 1739142517.6937
MEM 430.062500 1739142517.7979
MEM 430.906250 1739142517.9028
MEM 430.875000 1739142518.0066
MEM 430.890625 1739142518.1117
MEM 435.296875 1739142518.2169
MEM 435.265625 1739142518.3213
MEM 435.562500 1739142518.4264
MEM 436.218750 1739142518.5316
MEM 436.281250 1739142518.6366
MEM 436.890625 1739142518.7384
MEM 436.796875 1739142518.8397
MEM 436.796875 1739142518.9449
MEM 436.671875 1739142519.0501
MEM 436.578125 1739142519.1553
MEM 436.578125 1739142519.2605
MEM 436.578125 1739142519.3657
MEM 436.546875 1739142519.4708
MEM 436.562500 1739142519.5760
MEM 436.562500 1739142519.6799
MEM 436.468750 1739142519.7852
MEM 436.718750 1739142519.8870
MEM 437.093750 1739142519.9921
MEM 437.296875 1739142520.0971
MEM 437.421875 1739142520.2022
MEM 437.984375 1739142520.3043
MEM 438.203125 1739142520.4093
MEM 438.187500 1739142520.5146
MEM 438.203125 1739142520.6165
MEM 438.875000 1739142520.7216
MEM 438.984375 1739142520.8242
MEM 439.265625 1739142520.9293
MEM 439.375000 1739142521.0344
MEM 440.234375 1739142521.1395
MEM 440.859375 1739142521.2447
MEM 441.093750 1739142521.3498
MEM 441.359375 1739142521.4549
MEM 442.234375 1739142521.5598
MEM 442.203125 1739142521.6649
MEM 442.218750 1739142521.7696
MEM 442.218750 1739142521.8748
MEM 442.406250 1739142521.9799
MEM 442.625000 1739142522.0851
MEM 446.359375 1739142522.1903
MEM 446.359375 1739142522.2954
MEM 446.375000 1739142522.4006
MEM 446.390625 1739142522.5057
MEM 446.390625 1739142522.6108
MEM 446.421875 1739142522.7160
MEM 446.562500 1739142522.8185
MEM 450.187500 1739142522.9189
MEM 450.078125 1739142523.0222
MEM 450.046875 1739142523.1274
MEM 450.187500 1739142523.2325
MEM 449.968750 1739142523.3355
MEM 449.968750 1739142523.4407
MEM 450.078125 1739142523.5458
MEM 453.812500 1739142523.6509
MEM 453.468750 1739142523.7548
MEM 453.468750 1739142523.8600
MEM 453.609375 1739142523.9651
MEM 453.609375 1739142524.0703
MEM 453.484375 1739142524.1754
MEM 453.375000 1739142524.2771
MEM 457.109375 1739142524.3823
MEM 457.046875 1739142524.4847
MEM 456.765625 1739142524.5878
MEM 456.781250 1739142524.6929
MEM 456.781250 1739142524.7981
MEM 456.781250 1739142524.9033
MEM 456.843750 1739142525.0083
MEM 456.984375 1739142525.1135
MEM 456.984375 1739142525.2187
MEM 456.984375 1739142525.3229
MEM 457.015625 1739142525.4234
MEM 457.015625 1739142525.5245
MEM 457.015625 1739142525.6296
MEM 457.031250 1739142525.7347
MEM 457.156250 1739142525.8398
MEM 457.156250 1739142525.9450
MEM 457.156250 1739142526.0502
MEM 457.171875 1739142526.1553
MEM 457.171875 1739142526.2605
MEM 457.171875 1739142526.3657
MEM 457.187500 1739142526.4688
MEM 457.281250 1739142526.5739
MEM 457.281250 1739142526.6790
MEM 457.296875 1739142526.7842
MEM 457.437500 1739142526.8893
MEM 457.578125 1739142526.9916
MEM 457.578125 1739142527.0967
MEM 457.578125 1739142527.2019
MEM 457.984375 1739142527.3030
MEM 458.000000 1739142527.4082
MEM 458.000000 1739142527.5134
MEM 458.000000 1739142527.6165
MEM 458.140625 1739142527.7187
MEM 458.906250 1739142527.8239
